ingredient_name,common_aliases,category,concern_level,explanation,skin_types_to_avoid,benefit
Cottonseed Oil,Gossypium Herbaceum Seed Oil,Comedogenic,Caution,Rates 3-4 on comedogenicity. Common in food-grade cosmetics but clogs pores.,"oily, acne-prone",barrier repair
Acetylated Lanolin,Acetylated Wool Wax,Comedogenic,Avoid,Modified lanolin that rates even higher on the comedogenicity scale than regular lanolin.,"oily, acne-prone, sensitive",barrier repair
Acetylated Lanolin Alcohol,,Comedogenic,Avoid,Rates 5 out of 5 on comedogenicity. One of the worst offenders for pore clogging.,"oily, acne-prone",barrier repair
Lauric Acid,,Comedogenic,Caution,The main fatty acid in coconut oil responsible for its comedogenicity. Rates 4 out of 5.,"oily, acne-prone","barrier repair, acne fighting"
Myristic Acid,,Comedogenic,Caution,Saturated fatty acid that rates 3 on the comedogenicity scale.,"oily, acne-prone",barrier repair
Stearic Acid,"Octadecanoic Acid, C18, Hexyldecyl Stearate",Comedogenic,Caution,Rates 2-3 on comedogenicity. Used widely as an emollient and emulsifier. Borderline for acne-prone skin.,"oily, acne-prone",barrier repair
Sodium Stearate,,Comedogenic,Caution,Soap form of stearic acid. Can be drying and comedogenic.,"oily, acne-prone, dry",none
Isostearic Acid,,Comedogenic,Caution,Rates 3 on comedogenicity. Commonly used in lip products and foundation.,"oily, acne-prone",barrier repair
Myristyl Myristate,,Comedogenic,Avoid,Rates 5 out of 5. Extremely comedogenic emollient used in creams and lipsticks.,"oily, acne-prone, combination",barrier repair
Cetyl Acetate,,Comedogenic,Caution,Rates 4 on comedogenicity. Used as an emollient in many lotions.,"oily, acne-prone",none
Decyl Oleate,,Comedogenic,Avoid,Rates 3-4 on comedogenicity. Lightweight feel but still pore-clogging.,"oily, acne-prone",barrier repair
Octyl Stearate,,Comedogenic,Avoid,Rates 5 out of 5. Highly comedogenic emollient. Major acne trigger.,"oily, acne-prone, combination",barrier repair
Octyl Palmitate,Ethylhexyl Palmitate,Comedogenic,Avoid,Rates 4 on comedogenicity. Common in foundations and sunscreens. Problematic for acne-prone skin.,"oily, acne-prone",barrier repair
Glyceryl Stearate,,Comedogenic,Caution,Rates 2-3 on comedogenicity. Mild emulsifier — borderline for sensitive acne-prone skin.,"oily, acne-prone",none
Glyceryl Oleate,,Comedogenic,Caution,Rates 3 on comedogenicity. Used in moisturisers and hair products.,"oily, acne-prone",barrier repair
Butyl Stearate,,Comedogenic,Avoid,Rates 3-4 on comedogenicity. Often found in hair pomades and heavy creams.,"oily, acne-prone",none
Jojoba Oil,Simmondsia Chinensis Seed Oil,Comedogenic,Safe,"Technically a liquid wax, not an oil. Rates 0-2 on comedogenicity. Generally non-comedogenic and well tolerated.",none,"barrier repair, oil control"
Rosehip Oil,"Rosa Canina Fruit Oil, Rosa Rubiginosa Oil",Comedogenic,Safe,Rates 1 on comedogenicity. Rich in linoleic acid which can actually help acne-prone skin. Generally safe.,none,"barrier repair, anti-aging"
Hemp Seed Oil,Cannabis Sativa Seed Oil,Comedogenic,Safe,Rates 0 on comedogenicity. High in linoleic acid. Non-pore-clogging and beneficial for acne-prone skin.,none,"barrier repair, soothing"
Argan Oil,Argania Spinosa Kernel Oil,Comedogenic,Safe,Rates 0-1 on comedogenicity. Lightweight and non-greasy. Generally safe for most skin types.,none,"barrier repair, antioxidant"
Marula Oil,"Sclerocarya Birrea Seed Oil, Sclerocarya Birrea (Marula) Seed Oil, Marula Seed Oil",Comedogenic,Safe,Lightweight oil rich in oleic acid and antioxidants. Deeply moisturising and absorbs quickly. Can clog pores for acne-prone skin due to high oleic acid content.,"oily, acne-prone","barrier repair, antioxidant"
Shea Butter,"Butyrospermum Parkii (Shea) Butter, Butyrospermum Parkii Butter, Shea Butter Extract",Comedogenic,Caution,Rates 0-2 on comedogenicity. Generally safe but can cause issues in some acne-prone individuals. Better for body than face.,"oily, acne-prone","barrier repair, hydration"
Castor Oil,Ricinus Communis Seed Oil,Comedogenic,Caution,Rates 1 on comedogenicity but is extremely thick and occlusive. Can cause congestion with heavy use.,"oily, acne-prone",barrier repair
Sunflower Oil,Helianthus Annuus Seed Oil,Comedogenic,Safe,Rates 0-2 on comedogenicity. High in linoleic acid. Generally beneficial for acne-prone and sensitive skin.,none,barrier repair
Grapeseed Oil,Vitis Vinifera Seed Oil,Comedogenic,Safe,Rates 1 on comedogenicity. Lightweight and non-greasy. Safe for most skin types.,none,"barrier repair, antioxidant"
Sea Buckthorn Oil,Hippophae Rhamnoides Oil,Comedogenic,Caution,Rates 2 on comedogenicity. Extremely high in carotenoids — can temporarily tint skin orange with prolonged use.,"oily, acne-prone","anti-aging, brightening, antioxidant"
Pumpkin Seed Oil,Cucurbita Pepo Seed Oil,Comedogenic,Safe,Rates 2 on comedogenicity. Contains zinc which can help with acne. Generally well tolerated.,none,"barrier repair, antioxidant"
Tamanu Oil,Calophyllum Inophyllum Seed Oil,Comedogenic,Caution,Rates 2-3 on comedogenicity. Has antibacterial properties but can clog pores in acne-prone individuals.,"oily, acne-prone","barrier repair, acne fighting"
Mineral Oil,"Paraffinum Liquidum, White Mineral Oil, Petrolatum Liquid, Liquid Paraffin, White Petrolatum, Liquid Petrolatum, Huile Minerale, Paraffine, Nujol, Adepsine Oil",Comedogenic,Caution,"Rates 0-2 on comedogenicity. Contrary to popular belief, cosmetic grade mineral oil is not strongly comedogenic but forms a heavy occlusive layer.","oily, acne-prone",barrier repair
Petrolatum,"Petroleum Jelly, White Petrolatum, Vaseline",Comedogenic,Caution,Rates 0-1 on comedogenicity. Excellent occlusive moisturiser but very heavy. Better for dry skin and body use.,"oily, acne-prone",barrier repair
Sodium Lauryl Lactylate,,Comedogenic,Caution,Rates 3 on comedogenicity. Used as an emulsifier in creams.,"oily, acne-prone",none
Algae Extract,"Seaweed Extract, Algae",Comedogenic,Caution,"Rates 4-5 on comedogenicity depending on species. Despite being marketed as beneficial, many algae extracts heavily clog pores.","oily, acne-prone","hydration, antioxidant"
Carrageenan,Irish Moss Extract,Comedogenic,Caution,Derived from red algae. Rates 4 on comedogenicity. Also linked to gut inflammation when ingested.,"oily, acne-prone",hydration
D&C Red Dyes,"D&C Red No. 17, D&C Red No. 21, D&C Red No. 3",Comedogenic,Caution,Synthetic dyes rated 3-5 on comedogenicity. Commonly found in lip products and blush.,"oily, acne-prone",none
Sodium Chloride,"Salt, Table Salt, NaCl",Comedogenic,Caution,High concentrations can be comedogenic. Used as a thickener in shampoos and cleansers. Can cause scalp acne.,"oily, acne-prone",none
Potassium Chloride,,Comedogenic,Caution,Similar to sodium chloride. Comedogenic at higher concentrations.,"oily, acne-prone",none
Beeswax,"Cera Alba, Cera Flava",Comedogenic,Caution,Rates 2 on comedogenicity. Occlusive ingredient used in lip balms and heavy creams. Can trap debris in pores.,"oily, acne-prone",barrier repair
Carnauba Wax,Copernicia Cerifera Wax,Comedogenic,Caution,Rates 1-2 on comedogenicity. Used in lip products and mascara. Generally tolerated but can cause issues for sensitive acne-prone skin.,"oily, acne-prone",none
Candelilla Wax,Euphorbia Cerifera Wax,Comedogenic,Safe,Rates 1 on comedogenicity. Vegan alternative to beeswax. Generally safe for most skin types.,none,none
Fragrance,"Parfum, Fragrance (IFRA-Certified), Perfume, Aroma",Irritant,Avoid,The single biggest cause of cosmetic allergies and contact dermatitis. A fragrance listing can hide hundreds of undisclosed chemicals. Always a red flag for sensitive skin.,"sensitive, eczema, rosacea, all",none
Alcohol Denat,"Denatured Alcohol, SD Alcohol, Ethanol, Isopropyl Alcohol",Irritant,Caution,Drying alcohol that disrupts the skin barrier. Evaporates quickly giving a fresh feel but damages the barrier over time. Different from fatty alcohols.,"sensitive, dry, eczema, rosacea",none
Witch Hazel,"Hamamelis Virginiana Extract, Hamamelis Water, Witch Hazel Extract",Irritant,Caution,"Often used as a natural toner. Contains tannins that can be very drying and irritating, especially in alcohol-based formulations.","sensitive, dry, rosacea",oil control
Menthol,"L-Menthol, Peppermint Derived Menthol",Irritant,Caution,Creates a cooling sensation but is a known irritant. Can trigger flushing and worsen rosacea. Disrupts the skin barrier.,"sensitive, rosacea, eczema",soothing
Peppermint Oil,Mentha Piperita Oil,Irritant,Avoid,Contains high levels of menthol and menthone. Strong irritant and sensitiser. No benefit to skin despite popular use.,"sensitive, rosacea, eczema, all","soothing, oil control"
Eucalyptus Oil,"Eucalyptus Globulus Leaf Oil, Eucalyptus Essential Oil",Irritant,Avoid,Strong irritant with potential for sensitisation. Can trigger allergic reactions with repeated exposure.,"sensitive, eczema, rosacea",acne fighting
Lemon Oil,Citrus Limon Peel Oil,Irritant,Avoid,Phototoxic — reacts with UV light to cause dark spots and burns. Strong irritant and sensitiser.,all,brightening
Lime Oil,Citrus Aurantifolia Peel Oil,Irritant,Avoid,Highly phototoxic citrus oil. Can cause severe hyperpigmentation when skin is exposed to sunlight after use.,all,brightening
Bergamot Oil,Citrus Bergamia Peel Oil,Irritant,Avoid,"Contains bergapten, a known phototoxin. Can cause severe pigmentation and burns in sun-exposed skin.",all,none
Cinnamon,"Cinnamomum Zeylanicum Bark Extract, Cinnamon Bark Oil",Irritant,Avoid,One of the most common cosmetic sensitisers. Causes contact dermatitis and can permanently sensitise skin.,all,none
Clove Oil,"Eugenia Caryophyllus Bud Oil, Eugenol",Irritant,Avoid,Eugenol from clove is a major allergen. Causes significant irritation and sensitisation.,all,acne fighting
Tea Tree Oil,Melaleuca Alternifolia Leaf Oil,Irritant,Caution,Antibacterial properties but a known sensitiser with repeated use. Oxidises quickly and becomes more irritating over time.,"sensitive, eczema","acne fighting, soothing"
Lavender Oil,Lavandula Angustifolia Oil,Irritant,Caution,"Despite its calming reputation, lavender oil is a common sensitiser. Contains linalool and linalyl acetate which are allergens.","sensitive, eczema, rosacea",soothing
Rosemary Oil,Rosmarinus Officinalis Leaf Oil,Irritant,Caution,Can be irritating especially for sensitive skin. Contains camphor which is a known irritant.,"sensitive, eczema, rosacea",antioxidant
Geranium Oil,Pelargonium Graveolens Flower Oil,Irritant,Caution,Known skin sensitiser. Contains citronellol and geraniol which are common fragrance allergens.,"sensitive, eczema, rosacea",none
Ylang Ylang Oil,Cananga Odorata Flower Oil,Irritant,Avoid,One of the most allergenic essential oils in cosmetics. Strong sensitiser with little to no skin benefit.,all,none
Jasmine Oil,Jasminum Officinale Flower Extract,Irritant,Caution,Common fragrance allergen. Can cause contact dermatitis in sensitive individuals.,"sensitive, eczema, rosacea",none
Oakmoss,Evernia Prunastri Extract,Irritant,Avoid,Restricted by EU cosmetic regulations due to high allergenicity. Strong sensitiser.,all,none
Treemoss,Evernia Furfuracea Extract,Irritant,Avoid,EU restricted fragrance ingredient. Known sensitiser and allergen.,all,none
Linalool,,Irritant,Caution,Fragrance component found in lavender and many other botanicals. One of the 26 EU-regulated fragrance allergens.,"sensitive, eczema",none
Limonene,,Irritant,Caution,Citrus-derived fragrance component. Oxidises rapidly to form sensitising compounds. One of the 26 EU-regulated fragrance allergens.,"sensitive, eczema",none
Citronellol,,Irritant,Caution,Fragrance allergen found in rose and geranium oils. EU-regulated allergen that must be listed on labels.,"sensitive, eczema",none
Geraniol,,Irritant,Caution,Fragrance allergen found in geranium and rose oils. EU-regulated. Can cause allergic contact dermatitis.,"sensitive, eczema",none
Eugenol,,Irritant,Avoid,Found in clove and cinnamon. Strong sensitiser and one of the most common contact allergens in cosmetics.,all,none
Cinnamal,Cinnamaldehyde,Irritant,Avoid,Major allergen in cinnamon. Causes contact dermatitis even in small amounts. EU-regulated fragrance allergen.,all,none
Isoeugenol,2-Methoxy-4-(1-propenyl)phenol,Irritant,Avoid,Fragrance allergen related to eugenol. Strong sensitiser — EU-regulated and restricted in many products.,all,none
Benzyl Alcohol,,Irritant,Caution,Used as a preservative and fragrance ingredient. Can cause contact sensitivity. Also a mild irritant in higher concentrations.,"sensitive, eczema",none
Benzyl Benzoate,,Irritant,Caution,Fragrance ingredient and insecticide. EU-regulated fragrance allergen. Can cause sensitisation.,"sensitive, eczema",none
Benzyl Cinnamate,,Irritant,Caution,Fragrance allergen found in balsam of Peru. EU-regulated. Common cause of cosmetic allergies.,"sensitive, eczema",none
Formaldehyde,"Formalin, Methanal",Irritant,Avoid,Known carcinogen and strong allergen. Banned or restricted in cosmetics in many countries. Can cause severe contact dermatitis.,all,none
DMDM Hydantoin,,Irritant,Avoid,Formaldehyde-releasing preservative. Releases formaldehyde slowly into the formula over time. Linked to hair loss in shampoos.,all,none
Imidazolidinyl Urea,,Irritant,Caution,Formaldehyde-releasing preservative. One of the most common causes of cosmetic contact dermatitis.,"sensitive, eczema, all",none
Diazolidinyl Urea,,Irritant,Caution,Formaldehyde-releasing preservative. Releases more formaldehyde than imidazolidinyl urea. Significant sensitisation risk.,"sensitive, eczema, all",none
Quaternium-15,,Irritant,Avoid,Formaldehyde-releasing preservative. One of the strongest formaldehyde releasers used in cosmetics.,all,none
Bronopol,"2-Bromo-2-Nitropropane-1,3-Diol",Irritant,Avoid,Preservative that releases formaldehyde. Also a potential nitrosamine former. Linked to contact dermatitis.,all,none
Methylisothiazolinone,"MIT, MI",Irritant,Avoid,Powerful preservative associated with a widespread outbreak of contact allergy in Europe. EU has banned it from leave-on products.,all,none
Methylchloroisothiazolinone,"MCI, CMIT",Irritant,Avoid,Even more potent sensitiser than MIT. Restricted in EU rinse-off products and banned from leave-on products.,all,none
Benzalkonium Chloride,"BAC, Alkyldimethylbenzylammonium Chloride",Irritant,Caution,Preservative and surfactant that disrupts the skin barrier. Common in eye drops but can damage the ocular surface with prolonged use.,"sensitive, eczema, rosacea",none
Sodium Hydroxide,"Lye, Caustic Soda",Irritant,Caution,"Used to adjust pH. At high concentrations it is severely caustic. Safe in finished products where it is neutralised, but worth noting.",sensitive,none
Potassium Hydroxide,"KOH, Caustic Potash",Irritant,Caution,Used to adjust pH similar to sodium hydroxide. Safe in neutralised finished products.,sensitive,none
Triethanolamine,"TEA, Triethanoamine, Triethanolamide, Trolamine, Sterolamide",Irritant,Caution,pH adjuster that can form carcinogenic nitrosamines when combined with nitrosating agents. Mild irritant and sensitiser.,"sensitive, all",none
Diethanolamine,DEA,Irritant,Avoid,Can form carcinogenic nitrosamines. EU restricts its use. Associated with liver cancer in animal studies.,all,none
Resorcinol,,Irritant,Caution,Used in hair dyes and some acne treatments. Potential endocrine disruptor. Can cause sensitisation and systemic toxicity at high doses.,"sensitive, all",none
Hydroquinone,,Irritant,Caution,Skin lightening agent banned for OTC use in EU and some Asian countries. Risk of ochronosis (permanent skin darkening) with prolonged use. Requires prescription in many regions.,all,brightening
Triclosan,,Harmful Chemical,Avoid,Antimicrobial agent banned from hand soaps in the US and restricted in EU. Potential endocrine disruptor. Contributes to antibiotic resistance.,all,none
Triclocarban,,Harmful Chemical,Avoid,Similar to triclosan. Banned from OTC antiseptics by FDA. Endocrine disruption concerns.,all,none
BHA,"Butylated Hydroxyanisole, tert-Butyl-4-methoxyphenol",Harmful Chemical,Caution,Antioxidant preservative. Listed as a possible human carcinogen by IARC. Potential endocrine disruptor.,all,antioxidant
BHT,Butylated Hydroxytoluene,Harmful Chemical,Caution,Synthetic antioxidant. Some evidence of endocrine disruption. Considered safe at low cosmetic concentrations but debated.,all,antioxidant
Oxybenzone,Benzophenone-3,Harmful Chemical,Caution,Chemical UV filter. Significant skin penetration and potential endocrine disruption. Banned in Hawaii due to coral reef damage.,"sensitive, all",uv protection
Octinoxate,"Octyl Methoxycinnamate, Ethylhexyl Methoxycinnamate",Harmful Chemical,Caution,Chemical UV filter that penetrates skin and is found in blood and breast milk. Potential hormone disruption. Hawaii banned.,"sensitive, all",uv protection
Homosalate,,Harmful Chemical,Caution,Chemical UV filter that accumulates in the body faster than it can be eliminated. EU has reduced maximum allowable concentration.,all,uv protection
Octisalate,Ethylhexyl Salicylate,Harmful Chemical,Caution,Chemical UV filter and potential endocrine disruptor. Often used to stabilise avobenzone.,"sensitive, all",uv protection
Avobenzone,Butyl Methoxydibenzoylmethane,Harmful Chemical,Caution,Chemical UV filter with some penetration concerns. Degrades in sunlight and needs stabilisers. Generally considered safer than oxybenzone.,sensitive,uv protection
Coal Tar,"Tar, Bitumen",Harmful Chemical,Avoid,Derived from coal processing. Known carcinogen. Used in some dandruff and psoriasis treatments. Long-term use raises cancer risk.,all,none
Lead Acetate,,Harmful Chemical,Avoid,Neurotoxic heavy metal compound. Used in some hair dyes. Banned in EU cosmetics.,all,none
Mercury,"Thiomersal, Thimerosal, Mercuric Chloride",Harmful Chemical,Avoid,Neurotoxic heavy metal. Found in some skin lightening products. Banned in cosmetics in most countries.,all,none
Arsenic,,Harmful Chemical,Avoid,Known carcinogen. Sometimes found as contamination in natural ingredient-derived products.,all,none
Cadmium,"Cd, Cadmium sulfide (CdS), Cadmium oxide (CdO), Cadmium selenide",Harmful Chemical,Avoid,Toxic heavy metal occasionally found as contamination in pigments and colour cosmetics.,all,none
Chromium,,Harmful Chemical,Caution,Hexavalent chromium is a known carcinogen. Found as contamination in some colour cosmetics.,all,none
Phthalates,"DBP, DEHP, DEP, Diethyl Phthalate, Dibutyl Phthalate",Harmful Chemical,Avoid,Group of plasticisers used in fragrances and nail products. Strong endocrine disruptors linked to reproductive harm.,all,none
Toluene,,Harmful Chemical,Avoid,Solvent found in nail polish. Neurotoxic with inhalation. Reproductive toxicant. Banned in EU nail products.,all,none
Formaldehyde Resin,Tosylamide Formaldehyde Resin,Harmful Chemical,Avoid,Used in nail polishes. Strong allergen and potential carcinogen. Causes contact dermatitis of the eyelids from nail touching.,all,none
Styrene,,Harmful Chemical,Avoid,Potential carcinogen found in some fragrance compounds. Listed as possible human carcinogen by IARC.,all,none
Talc,Magnesium Silicate,Harmful Chemical,Caution,Used in powders and eyeshadows. Concerns exist around asbestos contamination in cosmetic-grade talc. Some studies link talc to ovarian cancer.,all,none
Carbon Black,"CI 77266, D&C Black No. 2",Harmful Chemical,Caution,Pigment used in mascaras and eyeliners. Possible carcinogen — classified as Group 2B by IARC.,all,none
Styrene Acrylates Copolymer,,Harmful Chemical,Caution,Microplastic film former. Does not biodegrade and accumulates in water systems. Environmental concern.,all,none
Polyethylene,"PE, Polyethylene Beads",Harmful Chemical,Avoid,"Microplastic used as exfoliant beads. Banned in rinse-off cosmetics in UK, US, and EU. Environmental pollutant.",all,none
PFAS,"Perfluoroalkyl Substances, Fluoropolymers, PTFE",Harmful Chemical,Avoid,"Forever chemicals used in some foundations and waterproof cosmetics for smooth application. Linked to cancer, hormone disruption, and immune effects. Do not biodegrade.",all,none
Ethanolamines,"MEA, DEA, TEA, Monoethanolamine",Harmful Chemical,Caution,Group of compounds used as pH adjusters and emulsifiers. Can form carcinogenic nitrosamines. DEA is the most concerning.,"sensitive, all",none
Dimethicone,"Polydimethylsiloxane, PDMS, Dimethyl Polysiloxane",Silicone,Caution,Silicone-based emollient that creates a smooth barrier on skin. Locks in moisture but can clog pores with prolonged use. Generally safe but avoid if acne-prone.,"acne-prone, oily",none
Cyclomethicone,"Cyclopentasiloxane, Cyclohexasiloxane, D4, D5, D6",Silicone,Caution,Volatile silicone that evaporates after application. D4 and D5 are restricted in EU wash-off products due to environmental persistence and potential endocrine effects.,all,none
Cyclopentasiloxane,"D5, Silicone D5",Silicone,Caution,Volatile silicone restricted in EU rinse-off cosmetics. Environmentally persistent.,all,none
Cyclohexasiloxane,D6,Silicone,Caution,Similar to cyclopentasiloxane. EU restricted. Persistent in the environment.,all,none
Phenyl Trimethicone,,Silicone,Safe,Gives hair and skin a glossy appearance. Less occlusive than dimethicone. Generally considered safe.,none,none
Amodimethicone,,Silicone,Safe,Conditioning silicone used in hair products. Targets damaged areas of hair. Generally safe and effective.,none,none
Trimethylsiloxysilicate,,Silicone,Safe,Film-forming silicone used in long-wear makeup. Creates a waterproof coating. Generally safe.,none,none
Caprylyl Methicone,,Silicone,Safe,Lightweight silicone with good spreading properties. Generally well tolerated.,none,none
Cetyl Dimethicone,,Silicone,Safe,Emollient silicone that conditions skin and hair. Generally safe and non-irritating.,none,none
Stearyl Dimethicone,,Silicone,Safe,Heavier silicone used in conditioners and moisturisers. Generally safe.,none,none
PEG-12 Dimethicone,"Silsurf D212CG, Dow Corning 5329, DC 5329, Polyethylene Glycol-12 Dimethicone, PEG-12 Dimethicone Copolyol, Ethoxylated Dimethicone",Silicone,Caution,"Water-soluble silicone. PEG compounds can be contaminated with 1,4-dioxane, a potential carcinogen. Generally safe at cosmetic concentrations.",sensitive,none
Lauryl Methicone Copolyol,,Silicone,Safe,Water-soluble silicone used as a conditioning agent. Generally safe.,none,none
Bis-PEG/PPG-20/20 Dimethicone,,Silicone,Caution,Water-soluble silicone emulsifier. PEG contamination concern applies.,sensitive,none
Silica,"Silicon Dioxide, SiO2",Silicone,Safe,Mineral absorbent and thickener. Completely inert and safe. Used to control shine and texture.,none,none
Dimethiconol,,Silicone,Safe,Variant of dimethicone with similar properties. Provides conditioning and smoothing effects. Generally safe.,none,none
Cetyl Alcohol,"1-Hexadecanol, Palmityl Alcohol",Fatty Alcohol,Safe,"Fatty alcohol derived from coconut or palm oil. Acts as an emollient and thickener. Despite the name, it is not drying and is generally well tolerated.",none,barrier repair
